Delaware Day #,DE infections,DE increase in infections ,DE Percent Increase,,MD Day #,MD infections,MD increase in infections,MD percent increase infections,,,Califronia Day #,CA infections,CA increase in infections,CA percent increase,,,,,,,,,,,,,,,,,,Texas Day #,Infections,Increase in infections,Percent Increase
1,1,0,0,,1,3,0,0,,,1,53,53,0,,,,,,,,,,,,,,,,,,1,5,5,0
2,4,3,300,,2,3,0,0,,,2,60,7,13,,,,,,,,,,,,,,,,,,2,5,#REF!,0
3,4,0,0,,3,3,0,0,,,3,69,9,15,,,,,,,,,,,,,,,,,,3,5,#REF!,0
4,6,2,50,,4,5,2,67,,,4,88,19,28,,,,,,,,,,,,,,,,,,4,12,7,140
5,7,1,17,,5,5,0,0,,,5,114,26,30,,,,,,,,,,,,,,,,,,5,15,3,25
6,8,1,14,,6,6,1,20,,,6,133,19,17,,,,,,,,,,,,,,,,,,6,18,3,20
7,16,8,100,,7,9,3,50,,,7,157,24,18,,,,,,,,,,,,,,,,,,7,22,4,22
8,26,10,63,,8,12,3,33,,,8,177,20,13,,,,,,,,,,,,,,,,,,8,22,0,0
9,30,4,15,,9,17,5,42,,,9,198,21,12,,,,,,,,,,,,,,,,,,9,22,0,0
10,39,9,30,,10,26,9,53,,,10,247,49,25,,,,,,,,,,,,,,,,,,10,56,34,155
11,45,6,15,,11,31,5,19,,,11,335,88,36,,,,,,,,,,,,,,,,,,11,56,0,0
12,56,11,24,,12,37,6,19,,,12,392,57,17,,,,,,,,,,,,,,,,,,12,63,7,13
13,64,8,14,,13,57,20,54,,,13,472,80,20,,,,,,,,,,,,,,,,,,13,82,19,30
14,87,23,36,,14,85,28,49,,,14,598,126,27,,,,,,,,,,,,,,,,,,14,108,26,32
15,119,32,37,,15,107,22,26,,,15,675,77,13,,,,,,,,,,,,,,,,,,15,175,67,62
16,143,24,20,,16,150,43,40,,,16,1006,331,49,,,,,,,,,,,,,,,,,,16,235,60,34
17,165,22,15,,17,190,40,27,,,17,1224,218,22,,,,,,,,,,,,,,,,,,17,263,28,12
18,214,49,30,,18,244,54,28,,,18,1468,244,20,,,,,,,,,,,,,,,,,,18,287,24,9
19,232,18,8,,19,288,44,18,,,19,1733,265,18,,,,,,,,,,,,,,,,,,19,712,425,148
20,264,32,14,,20,349,61,21,,,20,2102,369,21,,,,,,,,,,,,,,,,,,20,975,263,37
21,319,55,21,,21,423,74,21,,,21,2535,433,21,,,,,,,,,,,,,,,,,,21,1396,421,43
22,364,45,14,,22,580,157,37,,,22,3006,471,19,,,,,,,,,,,,,,,,,,22,1731,335,24
23,393,29,8,,23,774,194,33,,,23,3801,795,26,,,,,,,,,,,,,,,,,,23,2052,321,19
24,450,57,15,,24,992,218,28,,,24,4643,842,22,,,,,,,,,,,,,,,,,,24,2552,500,24
25,593,143,32,,25,1239,247,25,,,25,4643,0,0,,,,,,,,,,,,,,,,,,25,2877,325,13
26,673,80,13,,26,1413,174,14,,,26,5763,1120,24,,,,,,,,,,,,,,,,,,26,3266,389,14
27,783,110,16,,27,1660,247,17,,,27,6932,1169,20,,,,,,,,,,,,,,,,,,27,3997,731,22
28,928,145,19,,28,1985,325,20,,,28,8155,1223,18,,,,,,,,,,,,,,,,,,28,4669,672,17
29,1116,188,20,,29,2331,346,17,,,29,9191,1036,13,,,,,,,,,,,,,,,,,,29,5330,661,14
30,1209,93,8,,30,2758,427,18,,,30,10701,1510,16,,,,,,,,,,,,,,,,,,30,6110,780,15
31,1326,117,10,,31,3125,367,13,,,31,12026,1325,12,,,,,,,,,,,,,,,,,,31,6812,702,11
32,1475,149,11,,32,3609,484,15,,,32,13438,1412,12,,,,,,,,,,,,,,,,,,32,7276,464,7
33,1625,150,10,,33,4045,436,12,,,33,14336,898,7,,,,,,,,,,,,,,,,,,33,8262,986,14
34,1761,136,8,,34,4371,326,8,,,34,15865,1529,11,,,,,,,,,,,,,,,,,,34,9353,1091,13
35,1926,165,9,,35,5529,1158,26,,,35,18309,2444,15,,,,,,,,,,,,,,,,,,35,10230,877,9
36,2014,88,5,,36,6185,656,12,,,36,19472,1163,6,,,,,,,,,,,,,,,,,,36,11671,1441,14
37,2075,61,3,,37,6968,783,13,,,37,20615,1143,6,,,,,,,,,,,,,,,,,,37,12561,890,8
38,2323,248,12,,38,7694,726,10,,,38,21794,1179,6,,,,,,,,,,,,,,,,,,38,13484,923,7
39,2538,215,9,,39,8225,531,7,,,39,23338,1544,7,,,,,,,,,,,,,,,,,,39,13906,422,3
40,2745,207,8,,40,8936,711,9,,,40,24424,1086,5,,,,,,,,,,,,,,,,,,40,14624,718,5
41,2931,186,7,,41,9472,536,6,,,41,26182,1758,7,,,,,,,,,,,,,,,,,,41,15492,868,6
42,3200,269,9,,42,10032,560,6,,,42,27528,1346,5,,,,,,,,,,,,,,,,,,42,16455,963,6
43,3308,108,3,,43,10784,752,7,,,43,28963,1435,5,,,,,,,,,,,,,,,,,,43,17371,916,6
44,3442,134,4,,44,11572,788,7,,,44,30333,1370,5,,,,,,,,,,,,,,,,,,44,18260,889,5
